Full Export Completed,Partial Result Timestamp,Filters,Media Type,Users,Remote,Date,End Date,Duration,Direction,ANI,DNIS,Queue,Wrap-up,Flow,Conversation ID
YES,,Queue: C_FAKE_CHAT,email,Dra. Vitória Correia,Almeida Jesus - EI,07/07/25 02:50 PM,07/11/25 07:43 AM,1688095,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,a250ed78-7e22-4279-ae71-ad1d0a9c4b09
YES,,Queue: C_FAKE_WHATSAPP,message,Maria Julia da Paz; Erick da Cunha,Maria Sophia Pinto,05/18/25 02:13 PM,02/07/25 12:01 AM,1521672,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,f1587598-9e15-4705-9f63-2d7a5ba3d1da
YES,,Queue: C_FAKE_CHAT,call,Davi Luiz Mendes; Raquel Viana,Evelyn Pinto,04/17/25 06:35 PM,01/23/25 06:21 AM,578921,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,a2f445e8-5563-4bf4-850f-5739e227d70e
YES,,Queue: C_FAKE_CHAT,email,Valentina Moraes; Dra. Marcela da Mota,Martins Pinto e Filhos,07/05/25 01:39 PM,02/22/25 10:03 AM,871393,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,049af501-2c01-45a6-89dd-80a8678f5465
YES,,Queue: C_FAKE_CHAT,message,Dra. Emanuelly Novaes,Ana da Cunha,05/21/25 05:55 PM,04/29/25 12:08 PM,162726,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,c7b7383e-dcbd-4d9b-b77a-132cec89cea7
YES,,Queue: C_FAKE_EMAIL,message,Gabrielly Moura,Novaes S.A.,08/04/25 05:09 PM,03/03/25 06:12 PM,1186813,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,59b164ca-de9c-4ed1-aefe-3d842c306639
YES,,Queue: C_FAKE_CHAT,email,Vitor Gabriel Cavalcanti,Carolina Moraes,09/04/25 08:29 PM,06/07/25 01:43 PM,1612115,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,fd25bca9-e207-4d92-81c6-5bbb2b0238ae
YES,,Queue: C_FAKE_WHATSAPP,message,Levi da Luz; Júlia da Mota,da Mata,09/08/25 10:15 PM,01/05/25 10:29 PM,1687484,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,2b66201c-f21d-46e7-99e0-7cbd17342957
YES,,Queue: C_FAKE_CHAT,message,Felipe Freitas,Gomes - EI,08/11/25 04:27 PM,03/09/25 11:08 PM,1174399,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,03711d3f-c9be-4dce-82ee-09bf9811cd8b
YES,,Queue: C_FAKE_WHATSAPP,email,Pietra Peixoto; Bárbara Pires,Cunha - ME,06/04/25 06:18 PM,01/01/25 02:17 AM,802736,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,e4509dd3-d4bf-4f30-ab26-cc824324887e
YES,,Queue: C_FAKE_EMAIL,call,Sr. Nathan Moreira,Caroline da Mata,01/26/25 10:11 PM,07/05/25 07:57 AM,800849,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,0a121024-a5a2-45ac-88f8-672bd60112bd
YES,,Queue: C_FAKE_CHAT,email,Theo Dias,Ana Julia Barros,02/02/25 06:41 PM,08/12/25 06:39 AM,451477,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,c354fc52-5ee8-4627-bee0-5165383819b8
YES,,Queue: C_FAKE_WHATSAPP,message,Luiz Otávio da Luz,da Cruz Jesus - ME,02/06/25 08:50 AM,02/03/25 05:26 PM,1024094,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,61dfd243-38e1-405d-9785-db5af31b74f8
YES,,Queue: C_FAKE_EMAIL,call,Ryan Barbosa,Alexia Souza,02/25/25 06:08 PM,06/29/25 04:35 AM,400660,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,5203d212-098a-462c-a8b9-31bb7c60e5a9
YES,,Queue: C_FAKE_WHATSAPP,email,Emilly Nunes; Rodrigo Peixoto,Ribeiro - ME,02/20/25 09:48 AM,06/01/25 07:39 PM,504138,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,8695b07e-b56e-4e96-b7e8-51544808884b
YES,,Queue: C_FAKE_WHATSAPP,message,Sra. Alana Alves; Giovanna Dias,Camila da Paz,04/16/25 09:24 AM,06/14/25 12:47 PM,448109,Inbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,6cf4d2fd-d37f-4059-b1d7-64ba1712df48
YES,,Queue: C_FAKE_CHAT,message,Bianca das Neves; Ana Sophia da Rocha,Yuri Oliveira,02/14/25 12:45 PM,01/05/25 07:51 PM,1207226,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,9e020261-cae5-4cea-afd5-d562a4960505
YES,,Queue: C_FAKE_CHAT,email,Gustavo Henrique Carvalho; Fernanda Cunha,Theo Castro,06/01/25 02:34 AM,05/16/25 12:35 PM,469956,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,49a7102d-d12f-4227-a661-b18146a95d1a
YES,,Queue: C_FAKE_EMAIL,email,Vinicius da Paz; Camila Rezende,Mirella Nogueira,07/23/25 06:03 AM,05/21/25 02:11 PM,300073,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,e4f08e67-6b93-406b-b376-2c9c7a030894
YES,,Queue: C_FAKE_EMAIL,message,Kevin da Rocha,Otávio Gonçalves,03/11/25 10:17 PM,08/31/25 05:04 AM,1833305,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,47068498-d19c-4f8c-8b85-4f50f9848030
YES,,Queue: C_FAKE_EMAIL,email,Ana Clara Ribeiro; Dr. Caio Silva,Laura Aragão,02/03/25 02:38 PM,07/12/25 12:16 AM,1208597,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,30544160-908b-47f9-9d91-21b29ea62325
YES,,Queue: C_FAKE_EMAIL,call,Heitor da Mata,Davi Luiz Gomes,08/06/25 02:57 PM,03/27/25 03:01 AM,1023195,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,c580bccf-4440-47d2-8ec2-4fb471fef0ab
YES,,Queue: C_FAKE_CHAT,message,Breno Sales; Enzo Gabriel Fogaça,Dr. Yago Melo,03/18/25 06:18 AM,07/14/25 01:30 PM,187087,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,416a4f9f-9295-4162-a383-3b28d2ec1379
YES,,Queue: C_FAKE_WHATSAPP,email,Maria Fernanda Alves; João Gabriel Gonçalves,das Neves,05/27/25 11:52 PM,02/23/25 03:12 AM,1032893,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,0a9d484c-915c-465d-8f35-9e6c6b0376f0
YES,,Queue: C_FAKE_WHATSAPP,email,Ryan Rezende,Eduardo Silveira,06/18/25 11:59 AM,04/14/25 09:21 AM,1684094,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,fab0509e-0318-41eb-a720-52b4102f236d
YES,,Queue: C_FAKE_EMAIL,email,Noah Mendes,Luiz Fernando Mendes,09/01/25 01:04 AM,05/02/25 12:55 PM,1225269,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,44963381-f190-4205-bdee-5f357b51446a
YES,,Queue: C_FAKE_EMAIL,email,Bryan Novaes,Duarte,05/05/25 06:36 PM,08/18/25 02:53 AM,872723,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,cc4f2da9-d5d1-4277-8418-cd279a78ceed
YES,,Queue: C_FAKE_CHAT,email,Nathan das Neves,Maria Alice Cardoso,04/12/25 04:37 PM,06/15/25 11:06 PM,1261242,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,d8afa26c-7d1d-43ca-8e02-70220cc6f6d1
YES,,Queue: C_FAKE_EMAIL,email,Maysa Oliveira,Gonçalves S.A.,06/26/25 10:35 PM,07/16/25 04:42 AM,268147,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,430d741a-85c5-4b09-a812-4d3df4c88b1d
YES,,Queue: C_FAKE_EMAIL,call,Enrico Ramos,Novaes e Filhos,05/26/25 04:53 PM,02/01/25 11:35 PM,1552744,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,d7deaa33-738d-41e8-80a0-07018acfbadc
YES,,Queue: C_FAKE_EMAIL,message,Isabel Peixoto,Peixoto,07/01/25 12:03 PM,02/21/25 12:29 AM,996317,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,c148e224-6340-4548-a078-8722adef8e74
YES,,Queue: C_FAKE_EMAIL,call,João Vieira,Moura e Filhos,04/26/25 07:37 AM,02/03/25 08:05 PM,954639,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,847ccb1d-d104-4948-9f6d-a88484fbcda0
YES,,Queue: C_FAKE_CHAT,email,Dra. Maria Julia Azevedo; Davi Lucas Porto,Pietra da Cunha,08/13/25 12:46 AM,02/12/25 05:14 PM,380356,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,4edd6053-845b-41d0-86ee-1f6a02d6fd31
YES,,Queue: C_FAKE_EMAIL,message,Sr. Samuel Ramos; Maria Eduarda Nogueira,Gustavo Duarte,05/22/25 02:34 AM,06/09/25 11:09 PM,154808,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,08842230-6dab-4dd3-a1de-9299c0bdf939
YES,,Queue: C_FAKE_WHATSAPP,message,Sr. Enzo Farias; Emanuelly Pereira,Maitê Farias,03/24/25 01:13 AM,01/11/25 12:07 PM,160616,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,70a5e979-a505-4cab-bba8-f78b6577b891
YES,,Queue: C_FAKE_CHAT,email,Clara Aragão,Lorena Costa,08/01/25 07:40 PM,02/22/25 04:15 PM,587310,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,6bae6340-2ef3-4589-bc22-1d902edb7916
YES,,Queue: C_FAKE_WHATSAPP,call,Lorena Freitas,Aragão - EI,06/25/25 02:04 PM,07/17/25 07:41 AM,1565366,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,543fb086-6e4f-4b1c-81cf-1f8da5a49785
YES,,Queue: C_FAKE_WHATSAPP,message,Luiz Fernando Melo; Maria Vitória Barbosa,Ribeiro,03/21/25 05:01 PM,08/11/25 09:24 AM,225662,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,ae0343a9-4dff-40fc-b450-4da66a2a6ffe
YES,,Queue: C_FAKE_WHATSAPP,call,Samuel Silva; Dra. Lívia Rocha,Alice Lopes,09/05/25 03:36 PM,05/06/25 07:20 AM,707612,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,abb5fd1e-d806-4ff5-859b-b77bd9210c64
YES,,Queue: C_FAKE_WHATSAPP,message,Fernanda Cunha; Cauã Ramos,Francisco Pereira,01/31/25 04:40 AM,07/31/25 04:22 PM,668043,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,b9296f54-aecb-4625-a6c6-ea9bdd43fb54
YES,,Queue: C_FAKE_WHATSAPP,message,Alice Oliveira; Cecília da Mata,Vitor Hugo Campos,06/06/25 04:57 AM,03/05/25 05:57 AM,299395,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,ad19378e-f64f-4128-ae51-988293eff8c4
YES,,Queue: C_FAKE_CHAT,email,Lucas da Mota; Maria Luiza da Luz,Mariana Cardoso,08/09/25 01:33 AM,07/28/25 08:36 AM,1421648,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,1eb830f6-7d93-4703-a8e4-9b27ee34827a
YES,,Queue: C_FAKE_CHAT,message,Brenda Peixoto; Sra. Stella da Rocha,Lucas Gabriel Carvalho,06/27/25 04:35 PM,01/03/25 08:37 AM,1147697,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,d498ede9-d286-46ac-ac42-6e1a88ad3de9
YES,,Queue: C_FAKE_EMAIL,email,Paulo Ferreira,Nunes Gonçalves S.A.,01/12/25 05:32 PM,03/22/25 02:21 AM,468102,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,891a9b5b-9763-43b4-b209-683eb7cc7157
YES,,Queue: C_FAKE_EMAIL,message,Natália Duarte; Renan Duarte,Dr. Rodrigo Aragão,02/13/25 08:48 PM,04/20/25 03:00 PM,614004,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,9c4973a4-90c9-4728-866c-21045bd9d3c9
YES,,Queue: C_FAKE_WHATSAPP,message,Lavínia Araújo,Maria Vitória da Luz,01/25/25 03:57 PM,08/28/25 02:12 PM,1377040,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,706eb43a-89e2-4a88-91cc-75315708d618
YES,,Queue: C_FAKE_CHAT,call,Alexandre Moura,Souza,03/05/25 01:44 AM,04/16/25 11:04 AM,1004600,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,833bb2f3-e997-4938-8fb8-a4a33b645e6d
YES,,Queue: C_FAKE_WHATSAPP,message,Sra. Mirella Farias,Samuel da Conceição,01/30/25 06:15 AM,06/30/25 10:34 PM,530754,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,6a0e99b2-1c94-45c6-89ed-4d64b984933d
YES,,Queue: C_FAKE_EMAIL,call,Lívia Almeida,Nascimento,09/06/25 09:33 PM,04/16/25 06:38 AM,1566624,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,1d2867a0-ad84-4afe-b8c7-7dcaa9cf94bc
YES,,Queue: C_FAKE_EMAIL,message,Sr. Calebe Nascimento,da Conceição,07/18/25 10:53 AM,02/06/25 04:15 AM,605410,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,f081eaef-3320-46bf-8060-83dd541d0136
YES,,Queue: C_FAKE_EMAIL,call,Stephany Barbosa; Lucas Barros,Oliveira Jesus S/A,06/23/25 07:30 AM,01/19/25 02:41 PM,1954936,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,a10cf398-835f-4963-87f5-5f28341e4895
